Date,Location,Aircraft,Tail number,Airline division,Aircraft damage,Fatalities,Description,Refs
15 May 1970,Kishinev,An-10,CCCP-11149,Ulyanovsk Flight School,W/O,11/11,"On a training flight, lost control after a go-around at Kishinev Airport with two shut-down engines.",[20]
5 June 1970,Samarkand,Il-18V,CCCP-75533,Uzbekistan,W/O,0,The locking of the rudder on take-off led to the crash of the aircraft at Samarkand Airport.,[21]
25 July 1970,Ukhta,An-2TP,CCCP-41295,Komi,W/O,0,Crashed due to engine failure.,[22]
26 July 1970,Aukštelkai,An-2R,CCCP-29387,Lithuania,W/O,3/3,"After crop spraying at the ""Gražionis"" sovkhoz (state farm), the pilot, who was drunk, performed low-altitude stunts. Airspeed was lost and the aircraft crashed in the Možaicai forest and burned out.",[23]
8 August 1970,Kishinev,An-10A,CCCP-11188,Ukraine,W/O,1/114,"Force landed 38 kilometres (24 mi) from Kishinev. Twelve minutes into the flight, at 5,400 metres (17,700 ft), the crew detected smoke in the cockpit with a burning smell. An in-flight fire erupted after the number four engine suffered an uncontained failure, forcing the crew to carry out an emergency descent. The fire was extinguished, but hydraulic pressure was lost later. The pilot carried out a forced landing in a corn field. The terrain was uneven, and the fuselage collapsed. One passenger died. The aircraft was operating a domestic scheduled Vinnitsa-Simferopol service as Flight 888.",[24]
9 August 1970,Kirovograd,An-2R,CCCP-45215,Ukraine,W/O,0,Crashed after striking a telephone line.,[25]
20 August 1970,Namangan Region,An-2R,CCCP-15238,Uzbekistan,W/O,0,Crashed due to engine failure.,[26]
23 August 1970,Yuzhno-Sakhalinsk Airport,Il-18V,CCCP-75823,Far East,W/O,0,"While on final approach to Yuzhno-Sakhalinsk the aircraft came in too high and descended quickly. The aircraft landed first with the nosegear, collapsing it, after which the aircraft then slid off the runway, breaking off both wings. The aircraft was completing a domestic scheduled Moscow–Chelyabinsk–Krasnoyarsk–Chita–Yuzhno-Sakhalinsk passenger service as Flight 17.",[27]
2 September 1970,Dnepropetrovsk,Tu-124,CCCP-45012,Lithuania,W/O,37/37,"Crashed after control of the aircraft was lost en route a domestic scheduled Rostov-on-Don–Vilnius passenger service, operated as Flight 3630.",[28]
3 September 1970,Leninabad,Yak-40,CCCP-87690,Tajikistan,W/O,21/21,"Flew into the side of a mountain at 2,100 m (6,900 ft). The crew began descending over mountainous terrain in IMC conditions while they were not aware of the aircraft's exact position.",[29]
5 September 1970,Dzharkishlak,An-2R,CCCP-28952,West Siberia,W/O,2/2,"During a crop-spraying flight for the ""im. Kalinina"" collective farm the aircraft struck a high-voltage power line while spraying a field which was not to be sprayed. The aircraft crashed in a cotton field.",[30]
21 September 1970,Bulbukhta,An-2T,CCCP-02195,East Siberia,W/O,1/3,"Struck a mountain at 1,400 m (4,593 ft) in poor visibility. The aircraft was operating a Perevoz-Bulbukhta cargo service with supplies for a mine.",[31]
27 September 1970,Izhevsk,An-2T,CCCP-35417,Ural,W/O,0,Crashed after a loss of speed while on approach to an airfield near Izhevsk.,[32]
1 October 1970,Kamenny Mys,An-12B,CCCP-11031,International,W/O,8/8,Crashed upon take-off following engine failures due to malfunctions in the fuel pump system.,[33]
14 October 1970,Chernivtsi,An-2R,CCCP-02833,Ukraine,W/O,0,Crashed while attempting to land in poor weather.,[34][35]
15 October 1970,Trabzon,An-24B,CCCP-46256,Georgia,Unknown,1/60,"The aircraft was hijacked while en route from Batumi to Sukhumi by two hijackers, who demanded to be flown to Turkey.",[36]
16 October 1970,Simferopol,Il-18V,CCCP-75578,Armenia,W/O,Unknown,The crew diverted to Simferopol following an engine failure. The aircraft overran the runway after landing.,[37]
16 October 1970,Leshukonskoye,Li-2,CCCP-84771,Northern,W/O,0,"Crashed on takeoff from Leshukonskoye Airport. The aircraft was overloaded, having its center of gravity beyond the aft limit.",[38]
29 November 1970,Tambov,An-2R,CCCP-25611,Moscow SPiMVL,W/O,0,Crashed while flying a low-altitude steep turn.,[39]
31 December 1970,Leningrad,Il-18V,CCCP-75773,Armenia,W/O,6/86[nb 1],Crashed upon take-off from Pulkovo Airport when the crew forgot to select the flaps a priori. Due to operate a domestic scheduled Leningrad–Yerevan passenger service as Flight 3012.,[41]
22 January 1971,Surgut,An-12B,CCCP-11000,Komi,W/O,13/13,The aircraft was operating a cargo service from Omsk to Surgut when it crashed 15 kilometres (9.3 mi) short of the runway due to icing conditions.,[42]
31 January 1971,Surgut,An-12B,CCCP-12996,Tyumen,W/O,7/7,Icing conditions on the ailerons led the aircraft to undershoot the runway on landing at Surgut Airport and crash.,[43]
7 February 1971,Kirovsk Airport,Il-14M,CCCP-91535,Arkhangelsk,W/O,0,Undershot the runway on landing.,[44][45]
16 February 1971,Vorkuta,An-12TB,CCCP-11374,Komi,W/O,0/5,"The aircraft was operating a Norilsk–Vorkuta flight. It was due to land at Vorkuta Airport, but diverted to an alternative airfield because of the weather. Overran the runway on landing, hit a snow mound, and broke up.",[46]
31 March 1971,Voroshilovgrad,An-10,CCCP-11145,Privolzhsk,W/O,65/65,"Crashed 13 kilometres (8.1 mi) away from Voroshilovgrad Airport on approach, due to structural failure of the starboard outer wing. The aircraft was operating a domestic scheduled Kuybyshev–Voroshilovgrad passenger service as Flight 1969.",[47][48]
31 March 1971,Bykovo Airport,An-24,CCCP-46747,Central,W/O,0/5,"While practicing approaches, the instructor-pilot thought the right engine was malfunctioning. The mechanic reduced power to the right engine while increasing power to the left engine. The mechanic then shut down the left engine by mistake and the right engine failed. The crew performed a wheels-up landing near the airport.",[49][50]
11 April 1971,Tedzhen,An-2R,CCCP-25588,Turkmenistan,W/O,0,Lost airspeed and crashed on takeoff.,[51]
29 April 1971,Chernivtsi,An-2R,CCCP-42696,Ukraine,W/O,0,Force-landed in a forest due to a loss of engine power.,[52]
24 May 1971,Kirov,An-2T,CCCP-02171,Ural,W/O,0,Crashed. The aircraft was overloaded.,[53]
25 May 1971,Batagay Airport,An-12B,CCCP-11024,Yakut,W/O,0/8,Hard landing.,[54][55]
31 May 1971,Malakhovo,An-2R,CCCP-32076,Central,W/O,3/3,"During a crop-spraying flight, the pilot, who was drunk, performed low-altitude stunts. Control was lost and the aircraft crashed in a forest and burned out.",[56][57]
1 June 1971,Bogodorsk Island,An-24B,CCCP-47729,East Siberia,W/O,0,"Crashed near Ulan-Ude while on a training flight. Part of the training was to fly the aircraft with one engine out. After the engine was shut down and its propeller feathered, the flight engineer shut down the remaining engine by mistake and a forced landing was carried out.",[58]
15 July 1971,Pochop,An-2R,CCCP-06266,Central,W/O,2/2,"During a crop-spraying flight, the crew, who was drunk, performed a low-altitude turn. The aircraft lost altitude and crashed in a field.",[59][60]
16 July 1971,Kamennaya Sarma,An-2SKh,CCCP-43828,Privolzhsk,W/O,1/2,"During a crop-spraying flight for the ""Pobeda"" collective farm the engine failed, probably due to a carburetor problem. Due to the terrain an immediate forced landing was not possible; instead the pilot performed a left turn but the aircraft lost altitude and crashed.",[61]
25 July 1971[nb 2],Irkutsk Airport,Tu-104B,CCCP-42405,West Siberia,W/O,97/126,"Landed hard and burst into flames at Irkutsk Airport, inbound from Novosibirsk. The aircraft was operating a domestic scheduled Novosibirsk–Irkutsk–Vladivostok passenger service as Flight 1912.",[40][62][63]
28 July 1971,Lipetsk Airport,Yak-40,CCCP-87719,Central,W/O,0,Overran the runway on landing.,[64][65]
29 July 1971,Calcutta,An-12B,CCCP-12993,International,W/O,0/7,Overshot the runway on landing in heavy rain at Dum Dum Airport.,[66]
16 September 1971,Bykovo Airport,Be-30,CCCP-62707,Central,W/O,0,"Crashed during service trials, possibly due to a crew member shutting down an engine by mistake.",[67][68]
25 September 1971,Tokko,An-2T,CCCP-98281,Yakut,W/O,0,Force-landed following engine failure.,[69]
10 October 1971,Moscow,Tu-104B,CCCP-42490,Ukraine,W/O,25/25,"While climbing through 1,200 m (3,937 ft) an explosive device detonated shortly after takeoff from Vnukovo Airport. The blast damaged the fuselage on the left side and destroyed flight controls. Control was lost and the aircraft rolled right, entered a descent and crashed. Due to operate a domestic scheduled Moscow–Simferopol passenger service as Flight 773.",[70]
11 October 1971,Tyubelyaha,An-2T,CCCP-47678,Yakut,W/O,6/7,Crashed into a mountain in poor weather while en route a Moma Airport–Ust-Nera passenger service. The wreckage was found five days later.,[71]
12 October 1971,Kishinev,An-10,CCCP-11137,Moldova,W/O,0,Damaged on landing at Kishinev Airport.,[72][73]
17 October 1971,Dnepropetrovsk,An-2SKh,CCCP-70908,Ukraine,W/O,0,Crashed following the failure of the slat control cable.,[74]
12 November 1971,Vinnytsia,An-24B,CCCP-46809,Ukraine,W/O,48/48,"Stalled and crashed during a go-around at Vinnytsia Airport, inbound from Kiev as Flight N-63.",[75][76]
13 November 1971,Kerch,An-24B,CCCP-46378,Ukraine,W/O,6/11,Struck power lines on approach to Kerch Airport.,[77]
22 November 1971,Yerevan,An-2R,CCCP-62760,Armenia,W/O,0,Written off after overrunning the runway on landing at an airstrip near Yerevan.,[78]
29 November 1971,Aloja Airstrip,An-2R,CCCP-32207,Latvia,W/O,1/3,Crashed during crop-spraying after the pilot performed stunts at low altitude.,[79]
1 December 1971,Saratov,An-24B,CCCP-46788,Privolzhsk,W/O,57/57,"During the descent to Saratov the aircraft flew through cloud, during which ice built up on the airframe. The pilot attempted to increase engine power to correct the decrease in speed, but this failed. The aircraft lost control and entered a high rate of descent and crashed 13 km (8.1 mi) from the runway. The aircraft was operating a domestic scheduled Sverdlovsk–Ufa–Saratov passenger service as Flight 2174.",[80]
8 December 1971,Damanka,An-2T,CCCP-98292,North Caucasus,W/O,1/2,"The aircraft was being ferried from Maikop to the ARZ-421 overhaul facility at Vinnitsa, with a stopover at Kerch. The aircraft was flying too low, and deviated south of the flight route by 15 km (9.3 mi). Poor weather with bad visibility were encountered and the aircraft struck trees on top of a hill at 300 m (980 ft).",[81]
9 December 1971,Tashkent Region,An-2T,CCCP-33164,Uzbekistan,W/O,0,Crashed on landing due to high winds.,[82]
12 December 1971,Farikha Airstrip,An-2T,CCCP-55567,Northern,W/O,2/2,"Crashed on takeoff. Shortly after takeoff, the aircraft entered the back side of the power curve, probably due to a loss of engine power. The aircraft lost altitude and crashed on the ice short of the runway and burned out. The aircraft was operating a Farikha–Naryan-Mar cargo service.",[83]
29 December 1971,Khanty-Mansisk,An-2V,CCCP-50573,Tyumen,W/O,0,Crashed. The aircraft was overloaded.,[84]
30 December 1971,Baranikha Airport,Il-14M,CCCP-91570,Magadan,W/O,0,Overran the runway.,[85][86]
30 December 1971,Baikit,An-2T,CCCP-98348,Krasnoyarsk,W/O,0,Crashed while flying too low.,[87]
22 February 1972,Lipetsk,An-24,CCCP-46732,Central,W/O,0/13,Crashed after the pilot accidentally activated the thrust reversers while the aircraft was on approach to Lipetsk Airport. The aircraft was operating a domestic scheduled Moscow-Lipetsk service as Flight 25.,[88][89]
27 February 1972,Mineralnye Vody,An-24B,CCCP-46418,North Caucasus,W/O,0,"Lost control and crashed on approach to Mineralnye Vody Airport, after an unintentional application of the thrust reversers.",[90]
February 1972,Rostov Airport,An-10,CCCP-11142,Ukraine,W/O,Unknown,Burned out at the ARZ-412 maintenance facility at Rostov Airport.,[91]
19 March 1972,Omsk,Tu-104B,CCCP-42408,East Siberia,W/O,0,Struck a snow wall on landing at Omsk Airport following several landing attempts.,[92]
26 March 1972,Sterlitamak,An-2R,CCCP-29380,Privolzhsk,W/O,0,Crashed due to icing.,[93]
27 March 1972,Voroshilovgrad,An-2,CCCP-42621,Ukraine,W/O,1/1,"Taking off from Voroshilovgrad (now Luhansk), the pilot decided to commit suicide due to marital problems. The pilot flew the aircraft into a four-story building where he lived, damaging several apartments and catching fire in the process. Although there were no injuries in the building, the pilot died on impact.",[94]
11 April 1972,Yukagir Village,An-2T,CCCP-44937,Yakut,W/O,1/3,"Lost control and crashed on a flapless take-off at the Yukagir Village, Ust-Yansky District.",[95]
14 April 1972,Vyyezdoye,An-2R,CCCP-01506,Privolzhsk,W/O,2/2,The aircraft had been performing crop-spraying flights. On the 30th flight the aircraft struck a high-voltage power line while flying against the sun and then crashed into a water-filled ravine.,[96]
4 May 1972,Bratsk,Yak-40,CCCP-87778,East Siberia,W/O,18/18,"Crashed into trees and burnt up when it was pushed down by a downdraft on approach to Bratsk Airport, inbound from Irkutsk as Flight 608.",[97]
5 May 1972,Poltava Region,An-2R,CCCP-25604,Ukraine,W/O,2/2,"During a crop-spraying flight, the pilot, who was drunk, performed low-altitude stunts over a village. Control was lost and the aircraft crashed into a building.",[98]
8 May 1972,Argyz District,An-2R,CCCP-45192,Tajikistan,W/O,2/2,"During a crop-spraying flight, the aircraft took off in the direction of a forest. The aircraft struck tree tops shortly after takeoff, crashed in the forest and caught fire.",[99]
12 May 1972,Kirensk,An-2TP,CCCP-50506,East Siberia,W/O,0,Force-landed following engine failure.,[100]
18 May 1972,Kharkov,An-10A,CCCP-11215,Ukraine,W/O,122/122[nb 3],"Operating a domestic scheduled passenger service as Flight 1491, crashed 24 kilometres (15 mi) off Kharkiv on approach to the city airport, inbound from Moscow, when both wings separated from the fuselage. Aeroflot retired its An-10 fleet from service following this event.",[101][102][103]
15 June 1972,Rechka,An-2R,CCCP-02692,Northern,W/O,2/2,"While operating a crop-spraying flight for the ""Peredolski"" state farm the engine lost power, due to deposits on the intake valves. The aircraft lost power and crashed into a horse stable on the banks of the Luga River.",[104]
28 June 1972,Shiringa,An-2R,CCCP-02582,East Siberia,W/O,4/4,"While crop-spraying for the ""Yeravninski"" state farm the crew made an unauthorized flight from Shininga. The aircraft lost altitude while in a turn and crashed.",[105]
28 June 1972,Kzyl-Orda,An-2R,CCCP-35313,Ukraine,W/O,0,Crashed while crop-spraying.,[106]
29 June 1972,Astrakhanka District,An-2R,CCCP-46652,Kazakhstan,W/O,1/2,"While crop-spraying the aircraft lost control while performing a right turn at low altitude, probably due to failure of the right-hand rudder control cable. The aircraft crashed and burned out.",[107]
11 July 1972,Okha,An-2,CCCP-98280,Far East,W/O,2/2,"Shortly after takeoff the aircraft encountered thick fog at 35–40 m (115–131 ft). The pilot then turned around but the aircraft lost airspeed, stalling and crashing on the shore of Pvernaya Bukhta Bay and burned out. The aircraft was operating an Okha–Tsimmermanovka cargo service.",[108]
19 July 1972,Yenotayevka,An-2R,CCCP-15283,North Caucasus,W/O,1/1,Crashed in steppe 7 km (4.3 mi) west of Yenotayevka Airfield and burned out. The pilot was drunk.,[109]
28 July 1972,Ust-Kuiga,An-2T,CCCP-32649,Yakut,W/O,0,Force-landed following engine failure.,[110]
4 August 1972,Aldan,Il-14M,CCCP-91537,Yakut,W/O,0,"Destroyed by fire in a forced landing attempt due to an engine failure, shortly after take-off from Aldan Airport. Due to operate a domestic scheduled Aldan–Chulman passenger service.",[111]
13 August 1972,Yuzhno-Sakhalinsk,An-2T,CCCP-01147,Far East,W/O,0,Force-landed following a loss of engine power.,[112]
26 August 1972,Arkhangelsk,Il-18B,CCCP-75663,Northern,W/O,0,Crashed upon landing in fog at Talagi Airport.,[113]
30 August 1972,Perevitsy,An-2R,CCCP-32520,Central,W/O,2/2,"During a crop-spraying flight for the ""Vrachevo-Gorki"" state farm, the aircraft encountered thick smoke from area peat fires. The pilots became disorientated, allowing the aircraft to lose altitude until it crashed into the bank of the Oka River.",[114][115]
30 August 1972,Suntar,An-2R,CCCP-49369,Yakut,W/O,0,"While transporting a cargo of fuel barrels, a fire started in the cargo hold. Although a forced landing was performed, the aircraft burned out.",[116]
31 August 1972,Smelovskiy,Il-18V,CCCP-74298,Kazakhstan,W/O,101/101,"A fire broke out in the cargo hold, at 7,200 metres (23,600 ft), while the aircraft was covering a domestic scheduled Alma-Ata–Moscow passenger service as Flight 558. The crew attempted to make an emergency landing at Magnitogorsk. During the descent, the airplane entered a spinning dive from an altitude of 2,400 metres (7,900 ft), and crashed near Smelovskiy.",[117][118]
10 September 1972,Velikaya Vulyga,An-2M,CCCP-02369,Ukraine,W/O,2/2,"The aircraft was being ferried back to Vinnitsa from Velikaya Vulyga following a crop-spraying flight. Before takeoff, however, the crew, who was drunk, forgot to remove clamps on the rudder and stabilizer. The aircraft banked left on takeoff at 10–15 m (33–49 ft), lost altitude and crashed and burned out some 500 m (1,600 ft) from where it was parked.",[119]
13 September 1972,Semipalatinsk Region,An-2R,CCCP-33233,Kazakhstan,W/O,0,"While attempting to take off from poor terrain, the aircraft crashed.",[120]
1 October 1972[nb 4],Adler,Il-18V,CCCP-75507,Moscow,W/O,109/109,"Crashed into the Black Sea shortly after takeoff from Sochi Airport, 4 kilometres (2.5 mi) off the shore. Due to operate a domestic scheduled Adler–Moscow passenger service as Flight 1036.",[101][121][122]
6 October 1972,Cherski,An-2P,CCCP-70738,Yakut,W/O,0,Force-landed following engine failure.,[123]
13 October 1972,Moscow,Il-62,CCCP-86671,International,W/O,174/174[nb 5],"Crashed into a lake after several landing attempts into Sheremetyevo Airport, approximately 6 kilometres (3.7 mi) east of the airport. The aircraft was operating a domestic non-scheduled Paris–Leningrad–Moscow passenger service as Flight 217.",[124][125][126]
4 November 1972,Kursk,An-24B,CCCP-46202,Privolzhsk,W/O,0,Crashed after it contacted trees on approach to Vostochny Airport.,[127]
13 November 1972,Yeniseisk,An-2TP,CCCP-09676,Krasnoyarsk,W/O,2/14,"While on a flight from Nazimoto to Yeniseisk the engine lost power, due to contaminated fuel. The crew decided to make a forced landing in a forest 40 km (25 mi) northwest of Yeniseisk, but the aircraft struck trees, crashed and caught fire.",[128]
14 November 1972,Lensk,An-2R,CCCP-91726,Yakut,W/O,0,Unknown,[129]
21 November 1972,Vorkuta,An-12TB,CCCP-11360,Moscow,W/O,0/8,"Landed short of the runway at Vorkuta Airport, ending up in a ravine.",[130][131]
22 November 1972,Krasnoyarsk,Yak-40,CCCP-87819,Krasnoyarsk,W/O,0,Crashed on takeoff from Krasnoyarsk Airport due to icing conditions.,[132]
3 December 1972,Yerbogachon,An-2TP,CCCP-41306,East Siberia,W/O,0,Force-landed following engine failure.,[133]
21 January 1973,Petukhovo,An-24B,CCCP-46276,North Caucasus,W/O,39/39,"Crashed into the snow near Petukhovo, apparently after it was hit by a surface-to-air missile while en route to Perm Airport. There were 39 people on board. Despite a few of them surviving the accident, they later died because of the low temperatures, before the rescue team reached the crash site. The aircraft was operating a domestic scheduled Kazan-Perm passenger service as Flight 6263.",[134]
17 February 1973,Amderma,An-12BP,CCCP-11341,Polar,W/O,0,Hard landing at Amderma Airport.,[135]
19 February 1973,Prague,Tu-154,CCCP-85023,International,W/O,66/100,Crashed on approach to Ruzyne Airport. While completing an international scheduled Moscow-Prague passenger service as Flight 141 the aircraft suddenly lost height and struck the ground.,[136]
24 February 1973,Off Ura-Tyube,Il-18V,CCCP-75712,Tajikistan,W/O,79/79,"Broke up at a height of 2,200 metres (7,200 ft) as it spun, crashing 40 kilometres (25 mi) away from Ura-Tyube. The aircraft was operating a domestic scheduled Dushanbe–Leninabad passenger service as Flight 630.",[137][138]
28 February 1973,Semipalatinsk,Yak-40,CCCP-87602,Kazakhstan,W/O,32/32,"Seconds after getting airborne, the airplane fell back to the runway at Semipalatinsk Airport. Due to operate a domestic scheduled Semipalatinsk–Ust-Kamenogorsk passenger service as Flight X-167.",[139][140]
6 March 1973,Graham Bell Island,An-12AP,CCCP-11994,Unknown,W/O,Unknown,Crashed.,[141]
6 March 1973,Serov,An-2T,CCCP-93467,Ural,W/O,0,Force-landed following a loss of engine power.,[142]
7 March 1973,Smolensk,An-2R,CCCP-70816,Central,W/O,0,Force-landed following engine failure.,[143]
9 March 1973,Kondinskoye,An-2,CCCP-01262,Tyumen,W/O,3/3,The aircraft was on a positioning flight from Elushkino to Kondinskoye. The pilot and passenger (the director of Kondinskoye Airport) were both drunk. The aircraft entered a dive and crashed in a snow-covered swamp near Lake Khattavtur some 57 km (35 mi) west of Kondinskoye.,[144]
24 March 1973,Ozyornaya,An-2,CCCP-05670,Far East,W/O,2/3,"During a cargo flight from Ozyornaya to Ust-Bolsheretsk the pilot, who was drunk, intentionally deviated from the flight route. The aircraft entered clouds and struck the northern slope of a snow-covered mountain at 350 m (1,150 ft).",[145]
14 April 1973,Andreyevka,An-2R,CCCP-35547,Kazakhstan,W/O,1/6,"During a ferry flight from Andreyevka to a state farm in Almaty for crop-spraying, the pilot decided to fly over the Chubundy mountain range rather than flying around it. The aircraft then encountered poor weather and later crashed on a mountain top at 1,200 m (3,900 ft).",[146]
24 April 1973,Leningrad,Tu-104B,CCCP-42505,Northern,W/O,2/57,"The aircraft was en route from Shosseynaya Airport to Moscow as Flight 2420 when it was hijacked by a person demanding to go to Stockholm. Despite an explosive device exploding in flight when the landing gear was lowered, killing the flight engineer and the hijacker and blowing a hole in the right side of the airframe, it landed safely at the airport of departure.",[147][148]
3 May 1973,North Pole,Li-2T,CCCP-04244,Yakut,W/O,0/9,"The aircraft took off from North Pole-21 drifting station to an ice floe in an area called ""Point 4"". After landing on the ice floe, the thickness was measured at 55 cm (22 in). The aircraft was parked and experiments began. When the ice was drilled to install instruments, the thickness was found to be 47 cm (19 in). Realizing that the ice was too thin for the aircraft to stay parked long-term, the crew decided to fly to another ice floe. The aircraft taxied to the end of the airstrip for takeoff, but it broke through the ice. The crew set up camp and were rescued by an An-2 two days later.",[149]
7 May 1973,Vnukovo Airport,Tu-154,CCCP-85030,Moscow,W/O,0/4,"During a training flight, the crew took off with the inner spoilers deployed. This caused severe vibrations and a loss of power in two engines. The crew made a forced landing in a forest.",[150]
11 May 1973,Off Semipalatinsk,Il-18B,CCCP-75687,Azerbaijan,W/O,63/63,"The aircraft was en route a domestic scheduled Tashkent–Novosibirsk passenger service as Flight 6551, when it crashed 84 kilometres (52 mi) south of Semipalatinsk, after it broke up at 5,000 metres (16,000 ft), possibly due to a steep emergency descent.",[151]
11 May 1973,Kursk,An-2M,CCCP-05915,Central,W/O,0,Force-landed following engine failure.,[152][153]
14 May 1973,Vologda,An-2R,CCCP-70569,Northern,W/O,0,Crashed. The aircraft was overloaded.,[154]
18 May 1973,Off Chita,Tu-104B,CCCP-42379,East Siberia,W/O,82/82,"Was hijacked en route a domestic scheduled Irkutsk–Chita passenger service as Flight 109 by a passenger who demanded to be flown to China. A bomb this passenger held detonated, and the aircraft broke up and crashed east of Lake Baikal, 97 kilometres (60 mi) west of Chita.",[155][156]
20 May 1973,Starobeshevo District,An-2R,CCCP-55798,Ukraine,W/O,1/2,"While on a crop-spraying flight for the ""Gornyak"" state farm, the aircraft lost altitude, crashed and caught fire while performing a right turn at 50 m (160 ft).",[157]
21 June 1973,Abakan,An-2R,CCCP-09228,Krasnoyarsk,W/O,2/3,"While on a crop-spraying flight for the ""Rossiya"" state farm, the aircraft entered a downward spiral while turning at 15–20 m (49–66 ft) and crashed in a field.",[158]
25 June 1973,Irkutsk,An-2R,CCCP-32558,East Siberia,W/O,0,Struck obstacles while flying too low.,[159]
30 June 1973,Amman,Tu-134A,CCCP-65668,Armenia,W/O,9/85,"Crashed into a house and broke in three after it failed to get airborne at Marka International Airport. The aircraft was due to operate a scheduled Amman–Beirut international passenger service as Flight 512. Two occupants of the aircraft died, as well as seven people on the ground.",[160][161]
4 July 1973,Off Shakhtyorsk,Il-14M,CCCP-91534,Far East,W/O,18/18,Flew into the side of a mountain 53 kilometres (33 mi) away from Shakhtyorsk when it made a premature descent.,[162]
9 July 1973,Kuybyshev,Tu-124V,CCCP-45062,Privolzhsk,Repaired,2/61,"Eleven minutes after takeoff from Kuybyshev Airport, while climbing to 6,600 m (21,700 ft), the right engine suffered an uncontained failure. Debris penetrated the fuselage, killing two passengers and injuring another four. Panicking passengers moved towards the front, causing the center of gravity to move forward. The passengers were seated and the aircraft landed safely. The aircraft was operating a Kuybyshev-Simferopol passenger service as Flight 5385.",[163][164]
20 July 1973,Saatli District,An-2T,CCCP-79827,Azerbaijan,W/O,1/2,"During crop-spraying the engine failed at 20–25 m (66–82 ft) due to a bird strike. Because of the terrain, a forced landing was not possible. While the crew was performing a left turn the aircraft struck a canal embankment and crashed.",[165]
26 July 1973,Ordzhonikidze,An-2R,CCCP-35559,North Caucasus,W/O,0,Crashed after the pilot failed to recover from a stall.,[166]
